Proyección;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Central de llamadas; $ 15.034.353 ; $ 64.829.118 ; $ 34.374.604 ; $ 9.680.100 ; $ 33.193.217 ; $ 17.871.663 ; $ 14.052.457 ; $ 27.253.572 ; $ 26.865.163 ; $ 37.298.989 ; $ 21.203.268 ; $ 29.432.833 
Comunicaciones; $ 248.334 ; $ 33.011 ; $ 572 ; $ 1.019.956 ; $ 2.824.074 ; $ 11.964.960 ; $ 49.412 ; $ 2.903.571 ; $ 2.515 ; $ 5.417 ; $ 15.834 ; $ 19.292 
Directo; $ 49.271.078 ; $ 117.696.591 ; $ 30.516.287 ; $ 1.084.909.689 ; $ 687.107.443 ;-$ 18.016.490 ; $ 119.237.276 ; $ 232.991.572 ; $ 131.254.700 ; $ 122.312.299 ; $ 310.179.269 ; $ 412.405.503 
Gastos Financieros; $ 34.162 ; $ 732.768 ; $ 129.743 ; $ 198.705 ; $ 320.884 ; $ 44.877 ; $ 239.748 ; $ 984.999 ; $ 1.269.940 ;-$ 308.031 ; $ 329.895 ; $ 484.433 
Gestión Laboral; $ 1.287.758 ; $ 4.017.351 ; $ 520.375 ; $ 8.439.713 ; $ 3.047.909 ; $ 449.193 ; $ 4.964.915 ; $ 16.851.316 ; $ 49.156.753 ; $ 19.204.525 ; $ 9.034.687 ; $ 9.753.964 
Infraestructura; $ 4.212.864 ; $ 1.093.018 ; $ 29 ; $ 48.960.836 ; $ 391.560 ;-$ 2.260.589 ; $ 154.653 ; $ 42.599 ; $ 3.008 ; $ 372.037 ; $ 67.720 ; $ 33.895 
Operaciones; $ 133.669.759 ;-$ 2.537.112 ; $ 10.042.383 ; $ 62.171.518 ; $ 469.065.004 ; $ 226.613.070 ; $ 67.907.488 ; $ 62.597.275 ; $ 98.814.026 ; $ 107.008.501 ; $ 47.619.905 ; $ 30.970.785 
Procesos contables; $ 10.412.738 ; $ 10.605.955 ; $ 11.769.730 ; $ 6.494.164 ; $ 10.241.597 ; $ 9.117.977 ; $ 2.028.370 ; $ 13.868.753 ; $ 15.807.268 ; $ 15.009.585 ; $ 8.719.987 ; $ 7.466.940 
Publicidad; $ 12.884.353 ; $ -   ; $ 6.948.072 ; $ 29.986.605 ; $ 6.715.012 ; $ 54.832.739 ; $ 7.745.794 ; $ 38.773.109 ; $ 44.334.624 ; $ 6.025.843 ; $ 1.082.305 ; $ 628.685 
Seguros; $ 9.737.709 ; $ 12.142.871 ; $ 1.239.912 ; $ 1.900.025 ; $ 4.742.758 ; $ 1.608.796 ; $ 8.745.916 ; $ 9.808.292 ; $ 18.377.572 ; $ 11.037.453 ; $ 11.473.788 ; $ 9.117.580 
Talento Humano; $ 1.501.868.647 ; $ 1.369.591.643 ; $ 193.780.016 ; $ 355.932.805 ; $ 363.351.737 ; $ 970.545.751 ; $ 490.222.891 ; $ 1.577.297.694 ; $ 2.076.823.269 ; $ 1.580.270.470 ; $ 1.184.947.927 ; $ 1.196.632.187 
Temporales; $ 35.915.730 ; $ 41.443.227 ; $ 41.202.164 ; $ 24.383.470 ; $ 45.702.126 ; $ 33.587.762 ; $ 3.105.023 ; $ 35.763.046 ; $ 30.339.721 ; $ 14.281.858 ; $ 45.232.639 ; $ 61.201.722 
TI; $ 14.870.912 ; $ 75.481.190 ; $ 31.101.293 ; $ 81.546.355 ; $ 120.792.882 ; $ 6.111.467 ; $ 34.451.654 ; $ 63.850.600 ;-$ 58.294.598 ; $ 60.692.155 ; $ 46.688.910 ; $ 34.475.054 
Traslado Fondos;-$ 22.107 ; $ -   ; $ 3.306.385 ;-$ 34.053 ;-$ 50.648 ;-$ 61.511 ;-$ 45.253 ;-$ 117.344 ;-$ 245.979 ;-$ 133.230 ;-$ 1.007.032 ;-$ 1.365.339 
 Total general ; $ 1.789.426.290 ; $ 1.695.129.631 ; $ 364.931.564 ; $ 1.715.589.889 ; $ 1.747.445.554 ; $ 1.312.409.666 ; $ 752.860.343 ; $ 2.082.869.055 ; $ 2.434.507.982 ; $ 1.973.077.870 ; $ 1.685.589.102 ; $ 1.791.257.534 
