Proyección;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Central de llamadas; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;; $ -   ; $ -   ; $ -   ; $ 317.988 ; $ 673.922 
Comunicaciones; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.187.080 
Directo; $ 63.452.702 ; $ 337.696.098 ; $ 302.181.995 ; $ 526.280.272 ; $ 240.482.567 ; $ 599.579.846 ; $ 374.778.032 ; $ 222.055.794 ; $ 353.503.666 ; $ 315.682.781 ; $ 430.776.275 ; $ 350.808.993 
Gestión Laboral; $ -   ; $ -   ; $ 880.386 ; $ 1.479.242 ; $ 5.401.335 ; $ 238.830 ; $ 2.624.481 ; $ 2.144.859 ; $ 5.333.623 ; $ 2.705.806 ; $ 228.516 ; $ 6.215.567 
Operaciones; $ -   ; $ 350.403 ; $ 110.468 ; $ 93.671 ; $ 330.135 ; $ 789.601 ; $ 15.000 ; $ 10.920 ; $ 1.602.972 ; $ 270.136 ; $ 274.990 ; $ 101.640 
Procesos contables; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   
Publicidad; $ -   ; $ 6.003.181 ; $ 5.031.103 ; $ -   ; $ 14.887.024 ; $ -   ;; $ -   ; $ -   ; $ 1.980.758 ; $ 2.291.941 ; $ 2.810.475 
Talento Humano; $ 306.328.043 ; $ 422.621.575 ; $ 354.902.583 ; $ 171.017.665 ; $ 348.598.360 ; $ 288.428.728 ; $ 377.243.621 ; $ 506.408.499 ; $ 249.757.581 ; $ 404.550.698 ; $ 222.911.170 ; $ 235.275.290 
Temporales; $ -   ; $ 3.210.224 ; $ 4.205.165 ; $ 3.368.889 ; $ 6.916.043 ; $ 2.444.733 ; $ 4.568.174 ; $ 5.737.568 ; $ 3.256.880 ; $ 5.762.362 ; $ 9.727.037 ; $ 10.948.763 
TI; $ 58.575 ; $ 2.418.320 ; $ 4.095.661 ; $ 4.415.276 ; $ 9.606.045 ; $ 10.523.505 ; $ 10.127.658 ; $ 14.616.557 ; $ 8.186.230 ; $ 8.422.815 ; $ 8.601.551 ; $ 31.447.564 
 Total general ; $ 369.839.320 ; $ 772.299.801 ; $ 671.407.361 ; $ 706.655.016 ; $ 626.221.509 ; $ 902.005.243 ; $ 769.356.966 ; $ 750.974.198 ; $ 621.640.952 ; $ 739.375.356 ; $ 675.129.468 ; $ 643.469.295 
